context,original_value,normalized_value,english_value,translation_strategy,matched_terms
known_or_handled_by,AMGRD DE CIMITARRA,amgrd de cimitarra,Amgrd of Cimitarra,token_dictionary_match,de
known_or_handled_by,BOMBERODE MOLAGAVITA,bomberode molagavita,Bomberode Molagavita,standardized_passthrough,
known_or_handled_by,BOMBEROS DE ARATOCA,bomberos de aratoca,Fire Department of Aratoca,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE ARATOCA Y CURITI,bomberos de aratoca y curiti,Fire Department of Aratoca and Curiti,token_dictionary_match,"bomberos, de, y"
known_or_handled_by,BOMBEROS DE BARBOSA,bomberos de barbosa,Fire Department of Barbosa,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE BARICHARA,bomberos de barichara,Fire Department of Barichara,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE BARRANCABERMEJA,bomberos de barrancabermeja,Fire Department of Barrancabermeja,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE BETULIA,bomberos de betulia,Fire Department of Betulia,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE BUCARAMANGA,bomberos de bucaramanga,Fire Department of Bucaramanga,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CARCASI,bomberos de carcasi,Fire Department of Carcasi,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CERRITO,bomberos de cerrito,Fire Department of Cerrito,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CHARALA,bomberos de charala,Fire Department of Charala,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CIMITARRA,bomberos de cimitarra,Fire Department of Cimitarra,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CONCEPCION,bomberos de concepcion,Fire Department of Concepcion,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CONTRATACION,bomberos de contratacion,Fire Department of Contratacion,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE COROMORO,bomberos de coromoro,Fire Department of Coromoro,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE CURITI,bomberos de curiti,Fire Department of Curiti,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE ENCISO,bomberos de enciso,Fire Department of Enciso,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE FLORIDABLANCA,bomberos de floridablanca,Fire Department of Floridablanca,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE GALAN,bomberos de galan,Fire Department of Galan,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE LA BELLEZA,bomberos de la belleza,Fire Department of the Belleza,token_dictionary_match,"bomberos, de, la"
known_or_handled_by,BOMBEROS DE LANDAZURI,bomberos de landazuri,Fire Department of Landazuri,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE LEBRIJA,bomberos de lebrija,Fire Department of Lebrija,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE LOS SANTOS,bomberos de los santos,Fire Department of Los Santos,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE MALAGA,bomberos de malaga,Fire Department of Malaga,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE MATANZA,bomberos de matanza,Fire Department of Matanza,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE MOGOTES,bomberos de mogotes,Fire Department of Mogotes,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE MOLAGAVITA,bomberos de molagavita,Fire Department of Molagavita,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE OCAMONTE,bomberos de ocamonte,Fire Department of Ocamonte,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE OIBA,bomberos de oiba,Fire Department of Oiba,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE PARAMO,bomberos de paramo,Fire Department of Paramo,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE PIEDECUESTA,bomberos de piedecuesta,Fire Department of Piedecuesta,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE PINCHOTE,bomberos de pinchote,Fire Department of Pinchote,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE PLAYON,bomberos de playon,Fire Department of Playon,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE PUERTO WILCHES,bomberos de puerto wilches,Fire Department of Puerto Wilches,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE RIONEGRO,bomberos de rionegro,Fire Department of Rionegro,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SABANA,bomberos de sabana,Fire Department of Sabana,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SAN GIL,bomberos de san gil,Fire Department of San Gil,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SAN MIGUEL,bomberos de san miguel,Fire Department of San Miguel,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SAN VICENTE,bomberos de san vicente,Fire Department of San Vicente,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SIMACOTA,bomberos de simacota,Fire Department of Simacota,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SUAITA,bomberos de suaita,Fire Department of Suaita,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE SURATA Y EJERCITO,bomberos de surata y ejercito,Fire Department of Surata and Ejercito,token_dictionary_match,"bomberos, de, y"
known_or_handled_by,BOMBEROS DE TONA,bomberos de tona,Fire Department of Tona,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE VELEZ,bomberos de velez,Fire Department of Velez,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE VETAS,bomberos de vetas,Fire Department of Vetas,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE VILLANUEVA,bomberos de villanueva,Fire Department of Villanueva,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DE ZAPATOCA,bomberos de zapatoca,Fire Department of Zapatoca,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS DEL HATO,bomberos del hato,Fire Department of the Hato,token_dictionary_match,"bomberos, del"
known_or_handled_by,BOMBEROS DEL PALMAR,bomberos del palmar,Fire Department of the Palmar,token_dictionary_match,"bomberos, del"
known_or_handled_by,BOMBEROS DEL PARAMO,bomberos del paramo,Fire Department of the Paramo,token_dictionary_match,"bomberos, del"
known_or_handled_by,BOMBEROS DEL PLAYON,bomberos del playon,Fire Department of the Playon,token_dictionary_match,"bomberos, del"
known_or_handled_by,BOMBEROS DEL SOCORRO,bomberos del socorro,Fire Department of the Socorro,token_dictionary_match,"bomberos, del"
known_or_handled_by,BOMBEROS EL SOCORRO,bomberos el socorro,Fire Department the Socorro,token_dictionary_match,"bomberos, el"
known_or_handled_by,BOMBEROS OFICIALES DE BUCARAMANGA,bomberos oficiales de bucaramanga,Fire Department Oficiales of Bucaramanga,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS PUERTO WILCHES,bomberos puerto wilches,Fire Department Puerto Wilches,token_dictionary_match,bomberos
known_or_handled_by,BOMBEROS VALLE DE SAN JOSE,bomberos valle de san jose,Fire Department Valle of San Jose,token_dictionary_match,"bomberos, de"
known_or_handled_by,BOMBEROS VOLUNTARIOS DE SAN MIGUEL,bomberos voluntarios de san miguel,Fire Department Volunteer of San Miguel,token_dictionary_match,"bomberos, voluntarios, de"
known_or_handled_by,BOMBEROS Y DEFENSA CIVIL CURITI,bomberos y defensa civil curiti,Fire Department and Civil Defense Curiti,token_dictionary_match,"bomberos, y, defensa civil"
known_or_handled_by,BOMBEROS ZAPATOCA,bomberos zapatoca,Fire Department Zapatoca,token_dictionary_match,bomberos
known_or_handled_by,"BOMBEROS, DEFENSA CIVIL POLICIA",bomberos defensa civil policia,Fire Department Civil Defense Policia,token_dictionary_match,"bomberos, defensa civil"
known_or_handled_by,BOMEROS DE ENCISO,bomeros de enciso,Bomeros of Enciso,token_dictionary_match,de
known_or_handled_by,CMGD CEPITA,cmgd cepita,Cmgd Cepita,standardized_passthrough,
known_or_handled_by,CMGD CURITI,cmgd curiti,Cmgd Curiti,standardized_passthrough,
known_or_handled_by,CMGD SAN BENITO,cmgd san benito,Cmgd San Benito,standardized_passthrough,
known_or_handled_by,CMGD VALLE DE SAN JOSE,cmgd valle de san jose,Cmgd Valle of San Jose,token_dictionary_match,de
known_or_handled_by,CMGR DEL HATO,cmgr del hato,Cmgr of the Hato,token_dictionary_match,del
known_or_handled_by,CMGR LANDAZURI,cmgr landazuri,Cmgr Landazuri,standardized_passthrough,
known_or_handled_by,CMGR PIEDECUESTA,cmgr piedecuesta,Cmgr Piedecuesta,standardized_passthrough,
known_or_handled_by,CMGR PUERTO WILCHES,cmgr puerto wilches,Cmgr Puerto Wilches,standardized_passthrough,
known_or_handled_by,CMGRD AGUADA,cmgrd aguada,Municipal Disaster Risk Management Council Aguada,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ALBANIA,cmgrd albania,Municipal Disaster Risk Management Council Albania,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD ARATOCA,cmgrd aratoca,Municipal Disaster Risk Management Council Aratoca,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BARBOSA,cmgrd barbosa,Municipal Disaster Risk Management Council Barbosa,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BARICHARA,cmgrd barichara,Municipal Disaster Risk Management Council Barichara,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BARRANCABERMEJA,cmgrd barrancabermeja,Municipal Disaster Risk Management Council Barrancabermeja,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BETULIA,cmgrd betulia,Municipal Disaster Risk Management Council Betulia,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BOLIVAR,cmgrd bolivar,Municipal Disaster Risk Management Council Bolivar,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD BUCARAMANGA,cmgrd bucaramanga,Municipal Disaster Risk Management Council Bucaramanga,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CALIFORNIA,cmgrd california,Municipal Disaster Risk Management Council California,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CAPITANEJO,cmgrd capitanejo,Municipal Disaster Risk Management Council Capitanejo,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CARCASI,cmgrd carcasi,Municipal Disaster Risk Management Council Carcasi,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CEPITA,cmgrd cepita,Municipal Disaster Risk Management Council Cepita,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CEPITA Y JORDAN,cmgrd cepita y jordan,Municipal Disaster Risk Management Council Cepita and Jordan,token_dictionary_match,"cmgrd, y"
known_or_handled_by,CMGRD CERRITO,cmgrd cerrito,Municipal Disaster Risk Management Council Cerrito,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CHARALA,cmgrd charala,Municipal Disaster Risk Management Council Charala,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CHARTA,cmgrd charta,Municipal Disaster Risk Management Council Charta,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CHIMA,cmgrd chima,Municipal Disaster Risk Management Council Chima,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CIMIARRA,cmgrd cimiarra,Municipal Disaster Risk Management Council Cimiarra,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CIMITARRA,cmgrd cimitarra,Municipal Disaster Risk Management Council Cimitarra,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CONCENPCION,cmgrd concenpcion,Municipal Disaster Risk Management Council Concenpcion,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CONCEPCION,cmgrd concepcion,Municipal Disaster Risk Management Council Concepcion,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CONFINES,cmgrd confines,Municipal Disaster Risk Management Council Confines,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CONTRATACION,cmgrd contratacion,Municipal Disaster Risk Management Council Contratacion,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD COROMORO,cmgrd coromoro,Municipal Disaster Risk Management Council Coromoro,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD CURITI,cmgrd curiti,Municipal Disaster Risk Management Council Curiti,token_dictionary_match,cmgrd
known_or_handled_by,CMGRD DE AGUADA,cmgrd de aguada,Municipal Disaster Risk Management Council of Aguada,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ALBANIA,cmgrd de albania,Municipal Disaster Risk Management Council of Albania,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ARATOCA,cmgrd de aratoca,Municipal Disaster Risk Management Council of Aratoca,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BARBOSA,cmgrd de barbosa,Municipal Disaster Risk Management Council of Barbosa,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BARICHARA,cmgrd de barichara,Municipal Disaster Risk Management Council of Barichara,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BARRANCABERMEJA,cmgrd de barrancabermeja,Municipal Disaster Risk Management Council of Barrancabermeja,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BETULIA,cmgrd de betulia,Municipal Disaster Risk Management Council of Betulia,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BOLIVAR,cmgrd de bolivar,Municipal Disaster Risk Management Council of Bolivar,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE BUCARAMANGA,cmgrd de bucaramanga,Municipal Disaster Risk Management Council of Bucaramanga,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CABRERA,cmgrd de cabrera,Municipal Disaster Risk Management Council of Cabrera,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CALIFORNIA,cmgrd de california,Municipal Disaster Risk Management Council of California,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CAPITANEJO,cmgrd de capitanejo,Municipal Disaster Risk Management Council of Capitanejo,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CARCASI,cmgrd de carcasi,Municipal Disaster Risk Management Council of Carcasi,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CEPITA,cmgrd de cepita,Municipal Disaster Risk Management Council of Cepita,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CERRITO,cmgrd de cerrito,Municipal Disaster Risk Management Council of Cerrito,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CHARALA,cmgrd de charala,Municipal Disaster Risk Management Council of Charala,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CHARTA,cmgrd de charta,Municipal Disaster Risk Management Council of Charta,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CHIMA,cmgrd de chima,Municipal Disaster Risk Management Council of Chima,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CHIMA BOMBEROS DE CONTRATACION,cmgrd de chima bomberos de contratacion,Municipal Disaster Risk Management Council of Chima Fire Department of Contratacion,token_dictionary_match,"cmgrd, de, bomberos, de"
known_or_handled_by,CMGRD DE CHIPATA,cmgrd de chipata,Municipal Disaster Risk Management Council of Chipata,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CIMITARRA,cmgrd de cimitarra,Municipal Disaster Risk Management Council of Cimitarra,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CONCEPCION,cmgrd de concepcion,Municipal Disaster Risk Management Council of Concepcion,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CONFINES,cmgrd de confines,Municipal Disaster Risk Management Council of Confines,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CONTRATACION,cmgrd de contratacion,Municipal Disaster Risk Management Council of Contratacion,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE COROMORO,cmgrd de coromoro,Municipal Disaster Risk Management Council of Coromoro,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE CURITI,cmgrd de curiti,Municipal Disaster Risk Management Council of Curiti,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ENCINO,cmgrd de encino,Municipal Disaster Risk Management Council of Encino,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ENCISO,cmgrd de enciso,Municipal Disaster Risk Management Council of Enciso,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE FLORIAN Y LA BELLEZA,cmgrd de florian y la belleza,Municipal Disaster Risk Management Council of Florian and the Belleza,token_dictionary_match,"cmgrd, de, y, la"
known_or_handled_by,CMGRD DE FLORIDABLANCA,cmgrd de floridablanca,Municipal Disaster Risk Management Council of Floridablanca,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GALAN,cmgrd de galan,Municipal Disaster Risk Management Council of Galan,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GAMBITA,cmgrd de gambita,Municipal Disaster Risk Management Council of Gambita,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GIRON,cmgrd de giron,Municipal Disaster Risk Management Council of Giron,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GUACA,cmgrd de guaca,Municipal Disaster Risk Management Council of Guaca,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GUADALUPE,cmgrd de guadalupe,Municipal Disaster Risk Management Council of Guadalupe,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GUAPOTA,cmgrd de guapota,Municipal Disaster Risk Management Council of Guapota,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GUAVATA,cmgrd de guavata,Municipal Disaster Risk Management Council of Guavata,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE GUEPSA,cmgrd de guepsa,Municipal Disaster Risk Management Council of Guepsa,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE JORDAN,cmgrd de jordan,Municipal Disaster Risk Management Council of Jordan,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE LA BELLEZ,cmgrd de la bellez,Municipal Disaster Risk Management Council of the Bellez,token_dictionary_match,"cmgrd, de, la"
known_or_handled_by,CMGRD DE LANDAZURI,cmgrd de landazuri,Municipal Disaster Risk Management Council of Landazuri,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE LEBRIJA,cmgrd de lebrija,Municipal Disaster Risk Management Council of Lebrija,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE LOS SANTOS,cmgrd de los santos,Municipal Disaster Risk Management Council of Los Santos,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE MACARAVITA,cmgrd de macaravita,Municipal Disaster Risk Management Council of Macaravita,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE MALAGA,cmgrd de malaga,Municipal Disaster Risk Management Council of Malaga,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE MATANZA,cmgrd de matanza,Municipal Disaster Risk Management Council of Matanza,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE MOGOTES,cmgrd de mogotes,Municipal Disaster Risk Management Council of Mogotes,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE MOLAGAVITA,cmgrd de molagavita,Municipal Disaster Risk Management Council of Molagavita,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE OCAMONTE,cmgrd de ocamonte,Municipal Disaster Risk Management Council of Ocamonte,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE OIBA,cmgrd de oiba,Municipal Disaster Risk Management Council of Oiba,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE ONZAGA,cmgrd de onzaga,Municipal Disaster Risk Management Council of Onzaga,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE PALMAS DEL SOCORRO,cmgrd de palmas del socorro,Municipal Disaster Risk Management Council of Palmas of the Socorro,token_dictionary_match,"cmgrd, de, del"
known_or_handled_by,CMGRD DE PIEDECUES Y FLORIDABLANCA,cmgrd de piedecues y floridablanca,Municipal Disaster Risk Management Council of Piedecues and Floridablanca,token_dictionary_match,"cmgrd, de, y"
known_or_handled_by,CMGRD DE PIEDECUESTA,cmgrd de piedecuesta,Municipal Disaster Risk Management Council of Piedecuesta,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE PINCHOTE,cmgrd de pinchote,Municipal Disaster Risk Management Council of Pinchote,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE PUERTO PARRA,cmgrd de puerto parra,Municipal Disaster Risk Management Council of Puerto Parra,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE PUERTO WILCHES,cmgrd de puerto wilches,Municipal Disaster Risk Management Council of Puerto Wilches,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE RIONEGRO,cmgrd de rionegro,Municipal Disaster Risk Management Council of Rionegro,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SABANA DE TORRES,cmgrd de sabana de torres,Municipal Disaster Risk Management Council of Sabana of Torres,token_dictionary_match,"cmgrd, de, de"
known_or_handled_by,CMGRD DE SAN ANDRES,cmgrd de san andres,Municipal Disaster Risk Management Council of San Andres,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SAN BENITO,cmgrd de san benito,Municipal Disaster Risk Management Council of San Benito,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SAN GIL,cmgrd de san gil,Municipal Disaster Risk Management Council of San Gil,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SAN JOAQUIN,cmgrd de san joaquin,Municipal Disaster Risk Management Council of San Joaquin,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SAN JOSE DE MIRANDA,cmgrd de san jose de miranda,Municipal Disaster Risk Management Council of San Jose of Miranda,token_dictionary_match,"cmgrd, de, de"
known_or_handled_by,CMGRD DE SAN MIGUEL,cmgrd de san miguel,Municipal Disaster Risk Management Council of San Miguel,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SAN VICENTE DE CHUCURI,cmgrd de san vicente de chucuri,Municipal Disaster Risk Management Council of San Vicente of Chucuri,token_dictionary_match,"cmgrd, de, de"
known_or_handled_by,CMGRD DE SANTA BARBARA,cmgrd de santa barbara,Municipal Disaster Risk Management Council of Santa Barbara,token_dictionary_match,"cmgrd, de"
known_or_handled_by,CMGRD DE SANTA HELENA DEL OPON,cmgrd de santa helena del opon,Municipal Disaster Risk Management Council of Santa Helena of the Opon,token_dictionary_match,"cmgrd, de, del"
known_or_handled_by,CMGRD DE SIMACOTA,cmgrd de simacota,Municipal Disaster Risk Management Council of Simacota,token_dictionary_match,"cmgrd, de"
